K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,algo_choice
400,75,0.480071392129,0.480071392129,0.480071392129,0.480071392129,3
600,75,0.473184400182,0.47246295568,0.473040111282,0.473184400182,3
250,75,0.531960848942,0.531960848942,0.531960848942,0.531960848942,3
250,149,0.536094160742,0.536094160742,0.536094160742,0.536094160742,3
150,149,0.509720209107,0.509338685172,0.50964390432,0.509720209107,3
300,149,0.530607626656,0.530607626656,0.530607626656,0.530607626656,3
200,149,0.516862716415,0.516862716415,0.516862716415,0.516862716415,3
400,149,0.506215661143,0.506215661143,0.506215661143,0.506215661143,3
600,149,0.465787143983,0.465787143983,0.465787143983,0.465787143983,3
500,149,0.475456556334,0.475456556334,0.475456556334,0.475456556334,3
200,199,0.519809627057,0.519809627057,0.519809627057,0.519809627057,3
250,199,0.536360818557,0.536360818557,0.536360818557,0.536360818557,3
300,199,0.533050184748,0.533050184748,0.533050184748,0.533050184748,3
500,199,0.476283728936,0.475698368766,0.476166656902,0.476283728936,3
400,199,0.511880563271,0.511880563271,0.511880563271,0.511880563271,3
600,199,0.464420450701,0.464342544047,0.46440486937,0.464420450701,3
250,249,0.530641521697,0.530641521697,0.530641521697,0.530641521697,3
400,249,0.51627437897,0.51627437897,0.51627437897,0.51627437897,3
500,249,0.481776789944,0.481335108892,0.481688453734,0.481776789944,3
300,249,0.532856598829,0.532856598829,0.532856598829,0.532856598829,3
500,299,0.484184432383,0.483951233992,0.484137792705,0.484184432383,3
600,249,0.459809945078,0.459783261588,0.459788598286,0.459783261588,3
600,299,0.456679079572,0.455885225917,0.456520308841,0.456679079572,3
400,299,0.519007638738,0.518471598956,0.518578806912,0.518471598956,3
300,299,0.529038904305,0.529038904305,0.529038904305,0.529038904305,3
600,399,0.459575701363,0.459008894449,0.459462339981,0.459575701363,3
500,399,0.493235037943,0.493056974437,0.493199425242,0.493235037943,3
500,499,0.457783001972,0.457312311403,0.457406449517,0.457312311403,3
400,399,0.522281903222,0.521835509428,0.522192624463,0.522281903222,3
