K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med
240,95,0.542410763892,0.542410763892,0.542410763892,0.542410763892
400,114,0.542325520683,0.542325520683,0.542325520683,0.542325520683
350,95,0.542097055674,0.542097055674,0.542097055674,0.542097055674
380,89,0.541992069999,0.541992069999,0.541992069999,0.541992069999
350,109,0.541958917726,0.541958917726,0.541958917726,0.541958917726
300,89,0.541561333932,0.541180715067,0.54125683884,0.541180715067
150,129,0.541454902488,0.541173816132,0.541398685217,0.541454902488
480,119,0.541315933081,0.541315933081,0.541315933081,0.541315933081
560,124,0.541187732295,0.541187732295,0.541187732295,0.541187732295
160,129,0.541173816132,0.541173816132,0.541173816132,0.541173816132
600,129,0.541173816132,0.541173816132,0.541173816132,0.541173816132
140,129,0.541173816132,0.541173816132,0.541173816132,0.541173816132
130,129,0.541173816132,0.541173816132,0.541173816132,0.541173816132
135,129,0.541173816132,0.541173816132,0.541173816132,0.541173816132
600,129,0.541173816132,0.541173816132,0.541173816132,0.541173816132
380,114,0.541119451805,0.541119451805,0.541119451805,0.541119451805
520,124,0.540895015744,0.540828983059,0.540881809207,0.540895015744
350,114,0.540626405047,0.540626405047,0.540626405047,0.540626405047
500,119,0.539987319071,0.539987319071,0.539987319071,0.539987319071
270,119,0.539924169838,0.539924169838,0.539924169838,0.539924169838
600,139,0.539761410841,0.539761410841,0.539761410841,0.539761410841
160,139,0.539761410841,0.539761410841,0.539761410841,0.539761410841
150,139,0.539761410841,0.539761410841,0.539761410841,0.539761410841
140,139,0.539761410841,0.539761410841,0.539761410841,0.539761410841
600,139,0.539761410841,0.539761410841,0.539761410841,0.539761410841
300,119,0.539381575053,0.539381575053,0.539381575053,0.539381575053
440,119,0.539095179249,0.539095179249,0.539095179249,0.539095179249
560,129,0.538606847116,0.538606847116,0.538606847116,0.538606847116
220,129,0.538557863536,0.538557863536,0.538557863536,0.538557863536
270,124,0.538068018653,0.538068018653,0.538068018653,0.538068018653
480,124,0.537726366964,0.537726366964,0.537726366964,0.537726366964
500,124,0.537628071247,0.53742759493,0.537467690193,0.53742759493
520,129,0.536379207413,0.536379207413,0.536379207413,0.536379207413
380,119,0.535745149535,0.535074061422,0.535610931912,0.535745149535
250,124,0.534186362036,0.533701300818,0.533798313061,0.533701300818
400,119,0.534148458935,0.533662113261,0.533759382396,0.533662113261
240,124,0.53391372698,0.53391372698,0.53391372698,0.53391372698
600,149,0.533830006232,0.533830006232,0.533830006232,0.533830006232
480,129,0.533695860127,0.533695860127,0.533695860127,0.533695860127
500,129,0.533630071668,0.533630071668,0.533630071668,0.533630071668
300,139,0.533603790309,0.533603790309,0.533603790309,0.533603790309
440,124,0.532787851235,0.532787851235,0.532787851235,0.532787851235
560,139,0.5326123081,0.5326123081,0.5326123081,0.5326123081
240,129,0.532597823505,0.530846899932,0.531197084647,0.530846899932
300,124,0.532353413813,0.532353413813,0.532353413813,0.532353413813
800,69,0.531501834504,0.531501834504,0.531501834504,0.531501834504
270,129,0.531432764416,0.531432764416,0.531432764416,0.531432764416
350,119,0.53124522705,0.530757697809,0.531147721202,0.53124522705
380,124,0.530875649011,0.530496949522,0.530799909113,0.530875649011
700,69,0.530867814959,0.529650197073,0.52989372065,0.529650197073
400,124,0.530266628137,0.530266628137,0.530266628137,0.530266628137
300,129,0.529874113472,0.529874113472,0.529874113472,0.529874113472
270,139,0.529623719149,0.528886338507,0.529033814636,0.528886338507
380,129,0.529025253981,0.529025253981,0.529025253981,0.529025253981
250,129,0.528793041201,0.528793041201,0.528793041201,0.528793041201
440,129,0.528759927064,0.528759927064,0.528759927064,0.528759927064
400,129,0.528042736866,0.528042736866,0.528042736866,0.528042736866
520,139,0.528023392583,0.528023392583,0.528023392583,0.528023392583
350,124,0.527996565579,0.527827628752,0.527962778214,0.527996565579
600,159,0.526508580904,0.526508580904,0.526508580904,0.526508580904
600,159,0.526508580904,0.526508580904,0.526508580904,0.526508580904
500,139,0.526159281279,0.526159281279,0.526159281279,0.526159281279
480,139,0.52585318474,0.52585318474,0.52585318474,0.52585318474
480,149,0.518522323759,0.518522323759,0.518522323759,0.518522323759
800,29,0.515816664732,0.515816664732,0.515816664732,0.515816664732
700,29,0.515816664732,0.515816664732,0.515816664732,0.515816664732
350,80,0.514220517875,0.514220517875,0.514220517875,0.514220517875
270,149,0.512895966919,0.511802698955,0.512677313326,0.512895966919
560,149,0.51264096992,0.51264096992,0.51264096992,0.51264096992
135,69,0.512444583611,0.512275320823,0.512309173381,0.512275320823
115,69,0.512444583611,0.512275320823,0.512309173381,0.512275320823
110,69,0.512444583611,0.512275320823,0.512410731053,0.512444583611
100,69,0.512377925513,0.512275320823,0.512357404575,0.512377925513
130,69,0.512377925513,0.512275320823,0.512295841761,0.512275320823
90,69,0.512377925513,0.512275320823,0.512295841761,0.512275320823
600,69,0.512377925513,0.512377925513,0.512377925513,0.512377925513
400,75,0.512278570211,0.512278570211,0.512278570211,0.512278570211
380,75,0.512278570211,0.512278570211,0.512278570211,0.512278570211
600,69,0.512275320823,0.512275320823,0.512275320823,0.512275320823
150,69,0.512275320823,0.512275320823,0.512275320823,0.512275320823
125,69,0.512275320823,0.512275320823,0.512275320823,0.512275320823
120,69,0.512275320823,0.512275320823,0.512275320823,0.512275320823
140,69,0.512275320823,0.512275320823,0.512275320823,0.512275320823
105,69,0.512275320823,0.512275320823,0.512275320823,0.512275320823
70,69,0.512275320823,0.512275320823,0.512275320823,0.512275320823
560,69,0.512275320823,0.512275320823,0.512275320823,0.512275320823
520,69,0.512113435281,0.512113435281,0.512113435281,0.512113435281
115,65,0.511709355318,0.51162980766,0.511645717192,0.51162980766
100,65,0.511709355318,0.51162980766,0.511693445786,0.511709355318
110,65,0.511709355318,0.51162980766,0.511693445786,0.511709355318
600,65,0.51162980766,0.51162980766,0.51162980766,0.51162980766
135,65,0.51162980766,0.511045677722,0.511512981672,0.51162980766
130,65,0.51162980766,0.511473376672,0.51150466287,0.511473376672
120,65,0.51162980766,0.51162980766,0.51162980766,0.51162980766
150,65,0.51162980766,0.511473376672,0.511598521462,0.51162980766
90,65,0.51162980766,0.511181467356,0.511271135417,0.511181467356
70,65,0.51162980766,0.511181467356,0.511271135417,0.511181467356
160,89,0.511519976007,0.511519976007,0.511519976007,0.511519976007
135,89,0.511487336084,0.511487336084,0.511487336084,0.511487336084
140,89,0.51147406027,0.51147406027,0.51147406027,0.51147406027
140,65,0.511473376672,0.511473376672,0.511473376672,0.511473376672
125,65,0.511473376672,0.511045677722,0.511131217512,0.511045677722
105,65,0.511473376672,0.511045677722,0.511131217512,0.511045677722
115,89,0.511314153033,0.51004747201,0.510300808215,0.51004747201
125,85,0.511299042774,0.511299042774,0.511299042774,0.511299042774
130,89,0.511279388763,0.511279388763,0.511279388763,0.511279388763
500,69,0.51122408897,0.51122408897,0.51122408897,0.51122408897
440,75,0.511174281243,0.510996365157,0.511031948375,0.510996365157
130,85,0.511165906366,0.511165906366,0.511165906366,0.511165906366
150,89,0.511147142461,0.511147142461,0.511147142461,0.511147142461
140,85,0.511126973142,0.511126973142,0.511126973142,0.511126973142
135,85,0.511126973142,0.511126973142,0.511126973142,0.511126973142
150,85,0.511092725744,0.511092725744,0.511092725744,0.511092725744
160,85,0.511092725744,0.511092725744,0.511092725744,0.511092725744
600,65,0.511045677722,0.511045677722,0.511045677722,0.511045677722
520,149,0.511015519157,0.510805468871,0.5109735091,0.511015519157
125,89,0.510960148824,0.510960148824,0.510960148824,0.510960148824
120,89,0.510960148824,0.510960148824,0.510960148824,0.510960148824
135,80,0.510879174746,0.510879174746,0.510879174746,0.510879174746
140,80,0.510839637961,0.510839637961,0.510839637961,0.510839637961
160,80,0.510804951782,0.510804951782,0.510804951782,0.510804951782
560,65,0.510733540119,0.509952326478,0.510108569206,0.509952326478
600,249,0.51073193055,0.51073193055,0.51073193055,0.51073193055
150,80,0.510698982515,0.510698982515,0.510698982515,0.510698982515
160,75,0.510697885143,0.510697885143,0.510697885143,0.510697885143
480,69,0.510567121828,0.510567121828,0.510567121828,0.510567121828
150,95,0.510549104022,0.510549104022,0.510549104022,0.510549104022
125,95,0.510435390894,0.510435390894,0.510435390894,0.510435390894
135,95,0.510311336332,0.510311336332,0.510311336332,0.510311336332
130,95,0.510206610843,0.510206610843,0.510206610843,0.510206610843
120,95,0.510174323333,0.510174323333,0.510174323333,0.510174323333
115,95,0.510076837102,0.510076837102,0.510076837102,0.510076837102
140,95,0.510074843956,0.510074843956,0.510074843956,0.510074843956
270,89,0.510008912255,0.510008912255,0.510008912255,0.510008912255
115,99,0.509891041319,0.509891041319,0.509891041319,0.509891041319
110,99,0.509874546925,0.509874546925,0.509874546925,0.509874546925
130,99,0.509724718296,0.509724718296,0.509724718296,0.509724718296
800,59,0.509694596487,0.509694596487,0.509694596487,0.509694596487
300,85,0.509608036057,0.509608036057,0.509608036057,0.509608036057
125,99,0.509592499195,0.509592499195,0.509592499195,0.509592499195
150,99,0.509577144354,0.509577144354,0.509577144354,0.509577144354
135,99,0.509352922428,0.509352922428,0.509352922428,0.509352922428
500,149,0.509233575155,0.509233575155,0.509233575155,0.509233575155
560,249,0.509110113596,0.509110113596,0.509110113596,0.509110113596
520,249,0.508599651848,0.508250990954,0.508320723133,0.508250990954
700,39,0.50856300363,0.50856300363,0.50856300363,0.50856300363
140,99,0.508553493355,0.508553493355,0.508553493355,0.508553493355
120,99,0.508481820942,0.508481820942,0.508481820942,0.508481820942
250,80,0.508327753631,0.508327753631,0.508327753631,0.508327753631
300,80,0.508189519737,0.508189519737,0.508189519737,0.508189519737
180,75,0.508127400134,0.508127400134,0.508127400134,0.508127400134
250,89,0.508121462991,0.508121462991,0.508121462991,0.508121462991
270,85,0.507970559017,0.507970559017,0.507970559017,0.507970559017
600,299,0.507788816215,0.507788816215,0.507788816215,0.507788816215
270,80,0.507745840008,0.507745840008,0.507745840008,0.507745840008
105,99,0.507720828504,0.507720828504,0.507720828504,0.507720828504
500,249,0.507703129188,0.507703129188,0.507703129188,0.507703129188
560,299,0.507641213221,0.507641213221,0.507641213221,0.507641213221
480,249,0.507627811123,0.507350981621,0.507406347522,0.507350981621
220,85,0.507592377179,0.507592377179,0.507592377179,0.507592377179
160,104,0.507564716767,0.507564716767,0.507564716767,0.507564716767
800,39,0.507546302039,0.507546302039,0.507546302039,0.507546302039
110,95,0.50753259207,0.50753259207,0.50753259207,0.50753259207
350,129,0.50742392364,0.507254516947,0.507390042302,0.50742392364
200,95,0.507406415485,0.507406415485,0.507406415485,0.507406415485
220,89,0.507390686557,0.507390686557,0.507390686557,0.507390686557
120,104,0.507385711789,0.507385711789,0.507385711789,0.507385711789
