K_cap,sigma,NMI_max,NMI_min,NMI_avg,NMI_med
70,11.9,0.519356461806,0.519356461806,0.519356461806,0.519356461806
70,12,0.519356461806,0.519356461806,0.519356461806,0.519356461806
70,12.1,0.519356461806,0.519356461806,0.519356461806,0.519356461806
70,12.3,0.519356461806,0.519356461806,0.519356461806,0.519356461806
70,12.6,0.519356461806,0.519356461806,0.519356461806,0.519356461806
70,16,0.519151229512,0.519151229512,0.519151229512,0.519151229512
90,4.5,0.519146367989,0.519146367989,0.519146367989,0.519146367989
70,7.9,0.519102686118,0.519102686118,0.519102686118,0.519102686118
70,8,0.519102686118,0.519102686118,0.519102686118,0.519102686118
70,8.1,0.519102686118,0.519102686118,0.519102686118,0.519102686118
70,8.3,0.519102686118,0.519102686118,0.519102686118,0.519102686118
105,2.5,0.517851479572,0.517851479572,0.517851479572,0.517851479572
200,1.1,0.517679577929,0.517679577929,0.517679577929,0.517679577929
100,3,0.516876665647,0.516876665647,0.516876665647,0.516876665647
110,2.5,0.516278117914,0.516278117914,0.516278117914,0.516278117914
270,1.1,0.515919313268,0.514943111978,0.51572407301,0.515919313268
240,1.5,0.51586654567,0.51586654567,0.51586654567,0.51586654567
380,1.5,0.515847009655,0.515847009655,0.515847009655,0.515847009655
90,5,0.515775242432,0.515775242432,0.515775242432,0.515775242432
220,1.5,0.514622487715,0.514622487715,0.514622487715,0.514622487715
70,2,0.51443971579,0.51443971579,0.51443971579,0.51443971579
180,1.1,0.514385333059,0.514385333059,0.514385333059,0.514385333059
400,1.5,0.513725653938,0.513725653938,0.513725653938,0.513725653938
115,2.5,0.513640955704,0.513640955704,0.513640955704,0.513640955704
160,1.5,0.513511499658,0.513511499658,0.513511499658,0.513511499658
100,3.5,0.513294187739,0.513294187739,0.513294187739,0.513294187739
105,3,0.513197551546,0.513197551546,0.513197551546,0.513197551546
90,2,0.512985127578,0.511523765175,0.512692855098,0.512985127578
180,1.5,0.512423325755,0.512423325755,0.512423325755,0.512423325755
90,5.5,0.512141406567,0.512141406567,0.512141406567,0.512141406567
90,6,0.511877980938,0.510080343317,0.510439870841,0.510080343317
250,1.1,0.51185100263,0.51185100263,0.51185100263,0.51185100263
110,3,0.511746073859,0.511349131699,0.511428520131,0.511349131699
300,1.1,0.511449841485,0.511449841485,0.511449841485,0.511449841485
200,1.5,0.510327052451,0.510327052451,0.510327052451,0.510327052451
105,2,0.510260342307,0.510260342307,0.510260342307,0.510260342307
100,4,0.510049103601,0.510049103601,0.510049103601,0.510049103601
150,1.1,0.509813235905,0.509813235905,0.509813235905,0.509813235905
120,2.5,0.509503050104,0.509503050104,0.509503050104,0.509503050104
125,2.5,0.509083378222,0.509083378222,0.509083378222,0.509083378222
90,6.5,0.508795716406,0.508795716406,0.508795716406,0.508795716406
90,7,0.508634633382,0.508634633382,0.508634633382,0.508634633382
100,2,0.508509828171,0.508509828171,0.508509828171,0.508509828171
150,1.5,0.508269655894,0.508269655894,0.508269655894,0.508269655894
90,7.5,0.507847991536,0.506861249947,0.507058598265,0.506861249947
135,1.1,0.507817370603,0.507345424851,0.507439814002,0.507345424851
350,1.1,0.507671670541,0.507671670541,0.507671670541,0.507671670541
115,3,0.507618449144,0.507618449144,0.507618449144,0.507618449144
140,1.1,0.507209459619,0.507209459619,0.507209459619,0.507209459619
125,1.1,0.507158930732,0.507158930732,0.507158930732,0.507158930732
240,2,0.506804261411,0.506804261411,0.506804261411,0.506804261411
180,2,0.506775374943,0.506775374943,0.506775374943,0.506775374943
160,1.1,0.506680803692,0.506680803692,0.506680803692,0.506680803692
90,7.7,0.506556861726,0.506556861726,0.506556861726,0.506556861726
90,7.9,0.506556861726,0.506556861726,0.506556861726,0.506556861726
90,8,0.506556861726,0.506556861726,0.506556861726,0.506556861726
90,8.1,0.506556861726,0.506556861726,0.506556861726,0.506556861726
90,8.3,0.506556861726,0.506556861726,0.506556861726,0.506556861726
90,8.5,0.506556861726,0.506556861726,0.506556861726,0.506556861726
440,1.5,0.506171794408,0.506171794408,0.506171794408,0.506171794408
120,1.1,0.506056851565,0.506056851565,0.506056851565,0.506056851565
90,11,0.505892865068,0.504771079771,0.50499543683,0.504771079771
90,11.5,0.505892865068,0.505892865068,0.505892865068,0.505892865068
90,11.7,0.505892865068,0.505892865068,0.505892865068,0.505892865068
90,11.9,0.505892865068,0.505892865068,0.505892865068,0.505892865068
90,12.1,0.505892865068,0.505892865068,0.505892865068,0.505892865068
90,12.3,0.505892865068,0.504771079771,0.505668508009,0.505892865068
90,12.6,0.505892865068,0.505892865068,0.505892865068,0.505892865068
90,12.9,0.505892865068,0.505526492493,0.505599767008,0.505526492493
105,3.5,0.505837024725,0.505837024725,0.505837024725,0.505837024725
90,9.5,0.505717827793,0.505717827793,0.505717827793,0.505717827793
90,10,0.505526492493,0.505526492493,0.505526492493,0.505526492493
90,10.5,0.505526492493,0.504405217133,0.504629472205,0.504405217133
90,9,0.505368401751,0.505368401751,0.505368401751,0.505368401751
115,1.1,0.505272929258,0.505272929258,0.505272929258,0.505272929258
200,2,0.505140119662,0.505140119662,0.505140119662,0.505140119662
110,3.5,0.505132913379,0.505132913379,0.505132913379,0.505132913379
90,13.2,0.505121581797,0.504405217133,0.504978308864,0.505121581797
110,2,0.504901319298,0.504901319298,0.504901319298,0.504901319298
130,1.1,0.504884583445,0.504884583445,0.504884583445,0.504884583445
100,1.5,0.504872926396,0.504872926396,0.504872926396,0.504872926396
90,1.5,0.504867781563,0.504404890525,0.504775203355,0.504867781563
90,12,0.504771079771,0.504771079771,0.504771079771,0.504771079771
90,13.8,0.504760638784,0.504760638784,0.504760638784,0.504760638784
250,2,0.50467462847,0.50467462847,0.50467462847,0.50467462847
90,14.2,0.504567669116,0.504206960401,0.504279102144,0.504206960401
130,2.5,0.504557003955,0.504557003955,0.504557003955,0.504557003955
100,4.5,0.504526512207,0.504526512207,0.504526512207,0.504526512207
110,1.5,0.504463572944,0.504463572944,0.504463572944,0.504463572944
90,13.5,0.504405217133,0.503640508639,0.504252275434,0.504405217133
120,2,0.504328834704,0.504328834704,0.504328834704,0.504328834704
135,2.5,0.504257936129,0.504257936129,0.504257936129,0.504257936129
90,14.4,0.504206960401,0.503086992531,0.503310986105,0.503086992531
90,14.6,0.504206960401,0.504206960401,0.504206960401,0.504206960401
90,14.7,0.504206960401,0.503086992531,0.503982966827,0.504206960401
90,14.9,0.504206960401,0.503086992531,0.503982966827,0.504206960401
90,15.5,0.504206960401,0.503420250187,0.504049618358,0.504206960401
270,2,0.503954786305,0.503954786305,0.503954786305,0.503954786305
70,1.1,0.503933671875,0.503933671875,0.503933671875,0.503933671875
90,16,0.503925329492,0.503420250187,0.503824313631,0.503925329492
140,1.5,0.503756646226,0.503756646226,0.503756646226,0.503756646226
105,4,0.50363469097,0.50363469097,0.50363469097,0.50363469097
70,1.5,0.503474478479,0.503474478479,0.503474478479,0.503474478479
90,14,0.503447200649,0.503447200649,0.503447200649,0.503447200649
105,1.5,0.503407463804,0.503407463804,0.503407463804,0.503407463804
115,2,0.503400878705,0.503400878705,0.503400878705,0.503400878705
100,5.5,0.503380389689,0.503380389689,0.503380389689,0.503380389689
380,1.1,0.503242824329,0.503242824329,0.503242824329,0.503242824329
100,6,0.502985527376,0.502985527376,0.502985527376,0.502985527376
160,2,0.502803834341,0.502803834341,0.502803834341,0.502803834341
150,2,0.50276347976,0.50276347976,0.50276347976,0.50276347976
100,5,0.502553738783,0.502387990142,0.502520589055,0.502553738783
120,1.5,0.502430197951,0.502430197951,0.502430197951,0.502430197951
115,1.5,0.502353500125,0.502353500125,0.502353500125,0.502353500125
140,2.5,0.50235231791,0.50235231791,0.50235231791,0.50235231791
125,1.5,0.502268864017,0.502268864017,0.502268864017,0.502268864017
220,2,0.502188249429,0.502188249429,0.502188249429,0.502188249429
125,2,0.502170620912,0.502170620912,0.502170620912,0.502170620912
100,6.5,0.501921179166,0.501921179166,0.501921179166,0.501921179166
105,4.5,0.501422203651,0.500805059974,0.50092848871,0.500805059974
135,1.5,0.501360674754,0.501360674754,0.501360674754,0.501360674754
