K_cap,sigma,NMI_max,NMI_min,NMI_avg,NMI_med,,,,,,,,,,
200,10,0.124022388506,0.123814029829,0.123980716771,0.124022388506,,,,,,,,,,/
200,9.5,0.122741676701,0.1224658304,0.122686507441,0.122741676701,,,,,,,,,,
220,9.5,0.122169353247,0.120309441394,0.121797370877,0.122169353247,,,,,,,,,,
200,11.5,0.122017458272,0.121819816251,0.121859344655,0.121819816251,,,,,,,,,,
220,9,0.120855632054,0.120653110021,0.120693614428,0.120653110021,,,,,,,,,,
200,11.9,0.120826035556,0.120415880386,0.12049791142,0.120415880386,,,,,,,,,,
200,10.5,0.120721645076,0.120556595133,0.120589605121,0.120556595133,,,,,,,,,,
200,12,0.120492228021,0.120492228021,0.120492228021,0.120492228021,,,,,,,,,,
200,12.1,0.120475236031,0.120191861193,0.120418561063,0.120475236031,,,,,,,,,,
200,13.8,0.118217905833,0.118083538576,0.118191032382,0.118217905833,,,,,,,,,,
200,14.4,0.117720613203,0.11745476088,0.117507931345,0.11745476088,,,,,,,,,,
350,10.5,0.11714068478,0.116198116315,0.116386630008,0.116198116315,,,,,,,,,,
200,11,0.116897675013,0.116816025089,0.116832355074,0.116816025089,,,,,,,,,,
200,13.2,0.116001190084,0.11590516132,0.115981984331,0.116001190084,,,,,,,,,,
200,12.9,0.115405116047,0.115397231427,0.115398808351,0.115397231427,,,,,,,,,,
350,9.5,0.114821818188,0.114667494068,0.114698358892,0.114667494068,,,,,,,,,,
180,5,0.114138818953,0.113944031357,0.114099861434,0.114138818953,,,,,,,,,,
240,14.6,0.109973074136,0.109832193888,0.109944898086,0.109973074136,,,,,,,,,,
250,14.6,0.109030598832,0.108630261685,0.108950531403,0.109030598832,,,,,,,,,,
270,8,0.108907119907,0.108780764153,0.108881848756,0.108907119907,,,,,,,,,,
300,9,0.108598739892,0.108107383498,0.108205654777,0.108107383498,,,,,,,,,,
200,3.5,0.108584805629,0.108552244097,0.108558756404,0.108552244097,,,,,,,,,,
250,12.1,0.108051284842,0.107727653927,0.10779238011,0.107727653927,,,,,,,,,,
250,14.7,0.108005742483,0.107544521116,0.10791349821,0.108005742483,,,,,,,,,,
250,15.5,0.107878684323,0.10771202824,0.107745359456,0.10771202824,,,,,,,,,,
270,3.5,0.107753118952,0.107552053101,0.107712905782,0.107753118952,,,,,,,,,,
250,14.4,0.107358329831,0.107345705622,0.107355804989,0.107358329831,,,,,,,,,,
250,13.2,0.107281785266,0.107019979428,0.107072340595,0.107019979428,,,,,,,,,,
250,14,0.107153767726,0.106585429605,0.106699097229,0.106585429605,,,,,,,,,,
240,15.5,0.107124113202,0.106914834808,0.106956690487,0.106914834808,,,,,,,,,,
250,12.9,0.106987957759,0.106713553092,0.106768434026,0.106713553092,,,,,,,,,,
200,4.5,0.106899911715,0.106835870253,0.106848678545,0.106835870253,,,,,,,,,,
240,5.5,0.106592451512,0.105838181634,0.105989035609,0.105838181634,,,,,,,,,,
250,13.8,0.106521950775,0.106229626744,0.106463485969,0.106521950775,,,,,,,,,,
250,13.5,0.10635306556,0.106249428825,0.106332338213,0.10635306556,,,,,,,,,,
200,16,0.106314077485,0.105681682608,0.105808161584,0.105681682608,,,,,,,,,,
220,1.5,0.105987203294,0.105692078356,0.105928178306,0.105987203294,,,,,,,,,,
220,4.5,0.105834309151,0.105276610479,0.105722769417,0.105834309151,,,,,,,,,,
240,14,0.105617937104,0.103356658108,0.105165681305,0.105617937104,,,,,,,,,,
240,1.1,0.105103310277,0.104429773647,0.104564480973,0.104429773647,,,,,,,,,,
220,12.1,0.104777649126,0.102951259436,0.104412371188,0.104777649126,,,,,,,,,,
250,8.3,0.104560611142,0.103849175709,0.103991462796,0.103849175709,,,,,,,,,,
200,1.1,0.104513449806,0.1044631043,0.104503380705,0.104513449806,,,,,,,,,,
250,1.1,0.104493651804,0.104378518463,0.104470625136,0.104493651804,,,,,,,,,,
220,11.5,0.104268505119,0.103758037621,0.10416641162,0.104268505119,,,,,,,,,,
250,11.7,0.103841376304,0.103394280041,0.103751957051,0.103841376304,,,,,,,,,,
250,5,0.103394353858,0.102528737514,0.103221230589,0.103394353858,,,,,,,,,,
160,5.5,0.103242334316,0.102239056937,0.10304167884,0.103242334316,,,,,,,,,,
250,14.9,0.102989384586,0.102965009062,0.102969884167,0.102965009062,,,,,,,,,,
