,NMI_max,NMI_min,NMI_avg,NMI_med,algo_choice,protein
5605,0.0847538026069,0.08348047140439999,0.0837351376449,0.08348047140439999,1,trp
5606,0.0847528517879,0.0679684905973,0.0813959795498,0.0847528517879,1,trp
5607,0.0845329554328,0.0811946387313,0.0818623020716,0.0811946387313,1,trp
5608,0.08430997572410001,0.066368379449,0.06995669870400001,0.066368379449,1,trp
5609,0.084228764444,0.0835279242838,0.084088596412,0.084228764444,1,trp
5610,0.08420328844760001,0.0835592619382,0.0840744831458,0.08420328844760001,1,trp
5611,0.0840994778862,0.0819946533566,0.0824156182625,0.0819946533566,1,trp
5612,0.0839055337418,0.08294756600610001,0.0831391595532,0.08294756600610001,1,trp
5613,0.0837635898555,0.0781848198859,0.0793005738798,0.0781848198859,1,trp
5614,0.0836779098667,0.0806352512595,0.08306937814530001,0.0836779098667,1,trp
5615,0.08339476541610001,0.0788225900956,0.0797370251597,0.0788225900956,1,trp
5616,0.08338300000469999,0.0738122540255,0.0757264032213,0.0738122540255,1,trp
5617,0.083244297816,0.0824280673394,0.08308105172069999,0.083244297816,1,trp
5618,0.08313343511099999,0.08313343511099999,0.08313343511099999,0.08313343511099999,4,trp
5619,0.08313343511099999,0.08313343511099999,0.08313343511099999,0.08313343511099999,4,trp
5620,0.082922572818,0.0658422759761,0.0692583353445,0.0658422759761,1,trp
5621,0.08282176900669999,0.0824063500347,0.0827386852123,0.08282176900669999,1,trp
5622,0.08275728574249999,0.0811124107145,0.08242831073689999,0.08275728574249999,1,trp
5623,0.082249121323,0.0818149856614,0.0819018127937,0.0818149856614,1,trp
5624,0.0822239729507,0.0763726869431,0.08105371574919999,0.0822239729507,1,trp
5625,0.08212860497810001,0.0762424175009,0.08095136748269999,0.08212860497810001,1,trp
5626,0.081950221107,0.0809634384105,0.0811607949498,0.0809634384105,1,trp
5627,0.08172538631989999,0.07484665326539999,0.0762223998763,0.07484665326539999,1,trp
5628,0.0815318402255,0.07735715442310001,0.0781920915836,0.07735715442310001,1,trp
5629,0.08125238210539999,0.08125238210539999,0.08125238210539999,0.08125238210539999,4,trp
5630,0.08125238210539999,0.08125238210539999,0.08125238210539999,0.08125238210539999,4,trp
5631,0.08125238210539999,0.08125238210539999,0.08125238210539999,0.08125238210539999,4,trp
5632,0.0811696043962,0.0726215970512,0.0743311985202,0.0726215970512,1,trp
5633,0.0808847902264,0.0808847902264,0.0808847902264,0.0808847902264,4,trp
5634,0.08087169352950001,0.08087169352950001,0.08087169352950001,0.08087169352950001,4,trp
5635,0.08079979280010001,0.077853232602,0.0802104807605,0.08079979280010001,1,trp
5636,0.08073119414,0.08073119414,0.08073119414,0.08073119414,4,trp
5637,0.08073119414,0.08073119414,0.08073119414,0.08073119414,4,trp
5638,0.08073119414,0.08073119414,0.08073119414,0.08073119414,4,trp
5639,0.08073119414,0.08073119414,0.08073119414,0.08073119414,4,trp
5640,0.08073119414,0.08073119414,0.08073119414,0.08073119414,4,trp
5641,0.08073119414,0.08073119414,0.08073119414,0.08073119414,4,trp
5642,0.08073119414,0.08073119414,0.08073119414,0.08073119414,4,trp
5643,0.08073119414,0.08073119414,0.08073119414,0.08073119414,4,trp
