K_cap,k_low,sigma,NMI_max,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,in_file,aff_type
15,3,0,0.276152126223,0.276152126223,0.276152126223,0.276152126223,10,1,./proteins/gb1_sparse/,entropic_aff
14,3,0,0.275501687206,0.274473270219,0.274678953616,0.274473270219,10,1,./proteins/gb1_sparse/,entropic_aff
13,3,0,0.277603863075,0.277603863075,0.277603863075,0.277603863075,10,1,./proteins/gb1_sparse/,entropic_aff
11,3,0,0.273009400049,0.272770940365,0.272961708112,0.273009400049,10,1,./proteins/gb1_sparse/,entropic_aff
12,3,0,0.280698657814,0.280698657814,0.280698657814,0.280698657814,10,1,./proteins/gb1_sparse/,entropic_aff
10,3,0,0.280458632815,0.280458632815,0.280458632815,0.280458632815,10,1,./proteins/gb1_sparse/,entropic_aff
9,3,0,0.27465761464,0.27465761464,0.27465761464,0.27465761464,10,1,./proteins/gb1_sparse/,entropic_aff
8,3,0,0.264744173402,0.264744173402,0.264744173402,0.264744173402,10,1,./proteins/gb1_sparse/,entropic_aff
7,3,0,0.285948182202,0.285948182202,0.285948182202,0.285948182202,10,1,./proteins/gb1_sparse/,entropic_aff
6,3,0,0.348781873093,0.344543822628,0.345391432721,0.344543822628,10,1,./proteins/gb1_sparse/,entropic_aff
5,3,0,0.284826884271,0.284826884271,0.284826884271,0.284826884271,10,1,./proteins/gb1_sparse/,entropic_aff
90,4,0,0.323227162714,0.323043046661,0.323079869872,0.323043046661,10,1,./proteins/gb1_sparse/,entropic_aff
85,4,0,0.323227162714,0.323227162714,0.323227162714,0.323227162714,10,1,./proteins/gb1_sparse/,entropic_aff
80,4,0,0.323227162714,0.323043046661,0.323190339504,0.323227162714,10,1,./proteins/gb1_sparse/,entropic_aff
75,4,0,0.323545812734,0.323043046661,0.323445259519,0.323545812734,10,1,./proteins/gb1_sparse/,entropic_aff
70,4,0,0.317607045753,0.317607045753,0.317607045753,0.317607045753,10,1,./proteins/gb1_sparse/,entropic_aff
65,4,0,0.317607045753,0.317420410224,0.317569718647,0.317607045753,10,1,./proteins/gb1_sparse/,entropic_aff
60,4,0,0.317607045753,0.317607045753,0.317607045753,0.317607045753,10,1,./proteins/gb1_sparse/,entropic_aff
55,4,0,0.324720581901,0.324539804085,0.324684426338,0.324720581901,10,1,./proteins/gb1_sparse/,entropic_aff
50,4,0,0.317412048764,0.317228633537,0.317265316583,0.317228633537,10,1,./proteins/gb1_sparse/,entropic_aff
45,4,0,0.328955757476,0.328955757476,0.328955757476,0.328955757476,10,1,./proteins/gb1_sparse/,entropic_aff
40,4,0,0.329134264391,0.329134264391,0.329134264391,0.329134264391,10,1,./proteins/gb1_sparse/,entropic_aff
35,4,0,0.331760310622,0.330965970391,0.331124838437,0.330965970391,10,1,./proteins/gb1_sparse/,entropic_aff
30,4,0,0.323917032786,0.323917032786,0.323917032786,0.323917032786,10,1,./proteins/gb1_sparse/,entropic_aff
