K_cap,k_low,-,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
55,13,0.395878077185,0.395878077185,0.395878077185,0.395878077185,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,13,0.395878077185,0.395878077185,0.395878077185,0.395878077185,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,13,0.395878077185,0.395878077185,0.395878077185,0.395878077185,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
90,8,0.395428682499,0.395428682499,0.395428682499,0.395428682499,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
85,8,0.395428682499,0.395428682499,0.395428682499,0.395428682499,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
80,8,0.395428682499,0.395428682499,0.395428682499,0.395428682499,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
75,8,0.395428682499,0.395428682499,0.395428682499,0.395428682499,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
70,8,0.395428682499,0.395428682499,0.395428682499,0.395428682499,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
90,9,0.394312131238,0.394312131238,0.394312131238,0.394312131238,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
85,9,0.394312131238,0.394312131238,0.394312131238,0.394312131238,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
80,9,0.394312131238,0.394312131238,0.394312131238,0.394312131238,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
75,9,0.394312131238,0.394312131238,0.394312131238,0.394312131238,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
70,9,0.394312131238,0.394312131238,0.394312131238,0.394312131238,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
90,10,0.394312131238,0.394312131238,0.394312131238,0.394312131238,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,8,0.394183866776,0.394183866776,0.394183866776,0.394183866776,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,14,0.393999216733,0.393999216733,0.393999216733,0.393999216733,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
17,12,0.393798934643,0.391138404031,0.393266828521,0.393798934643,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
12,11,0.391899467307,0.386573658088,0.387638819932,0.386573658088,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
11,10,0.390877139671,0.390877139671,0.390877139671,0.390877139671,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,12,0.389783924148,0.382078791306,0.38824289758,0.389783924148,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,12,0.389783924148,0.389783924148,0.389783924148,0.389783924148,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,12,0.389783924148,0.389783924148,0.389783924148,0.389783924148,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
90,11,0.388688872041,0.376122654917,0.378635898341,0.376122654917,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
18,12,0.387744300403,0.386226594831,0.386530135946,0.386226594831,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
70,12,0.387649319366,0.387649319366,0.387649319366,0.387649319366,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
60,12,0.387649319366,0.379207335624,0.380895732372,0.379207335624,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,45,0.387072782077,0.386549412091,0.386654086088,0.386549412091,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
24,12,0.385755142702,0.385755142702,0.385755142702,0.385755142702,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
