K_cap,k_low,sigma,NMI_max,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
45,22,0,0.471789694336,0.471789694336,0.471789694336,0.471789694336,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,24,0,0.471789694336,0.471789694336,0.471789694336,0.471789694336,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,24,0,0.471789694336,0.471789694336,0.471789694336,0.471789694336,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
55,24,0,0.471741806306,0.471741806306,0.471741806306,0.471741806306,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
60,50,0,0.471561449162,0.465984942667,0.470446147863,0.471561449162,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
75,50,0,0.471498706999,0.469468887325,0.46987485126,0.469468887325,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
85,55,0,0.471210568825,0.471210568825,0.471210568825,0.471210568825,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
18,17,0,0.470876397977,0.470876397977,0.470876397977,0.470876397977,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
40,-1,2,0.470387189219,0.450899373054,0.454796936287,0.450899373054,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
30,19,0,0.470164001301,0.470164001301,0.470164001301,0.470164001301,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
24,22,0,0.470062632266,0.470062632266,0.470062632266,0.470062632266,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,-1,1.1,0.470046673225,0.468517808139,0.468823581156,0.468517808139,10,3,0,2510,./proteins/nsp1_sparse/,plain_aff
75,45,0,0.469468887325,0.469468887325,0.469468887325,0.469468887325,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
70,45,0,0.469468887325,0.469468887325,0.469468887325,0.469468887325,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
85,50,0,0.469468887325,0.465551790249,0.46868546791,0.469468887325,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
