K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
40,16,0.400718890603,0.397352247485,0.400045561979,0.400718890603,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
35,17,0.400718890603,0.397352247485,0.398025576108,0.397352247485,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
35,18,0.400718890603,0.400718890603,0.400718890603,0.400718890603,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
6,5,0.400564535931,0.400564535931,0.400564535931,0.400564535931,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
12,6,0.400564535931,0.400564535931,0.400564535931,0.400564535931,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
11,6,0.400564535931,0.400564535931,0.400564535931,0.400564535931,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
12,5,0.400402200019,0.400402200019,0.400402200019,0.400402200019,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
11,5,0.400402200019,0.400402200019,0.400402200019,0.400402200019,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
65,9,0.400240201054,0.400240201054,0.400240201054,0.400240201054,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
80,20,0.400028157264,0.400028157264,0.400028157264,0.400028157264,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
75,20,0.400028157264,0.400028157264,0.400028157264,0.400028157264,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
11,3,0.399828217694,0.399828217694,0.399828217694,0.399828217694,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
18,14,0.399821819829,0.399821819829,0.399821819829,0.399821819829,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
17,14,0.399821819829,0.399821819829,0.399821819829,0.399821819829,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
30,18,0.399513371422,0.394973719959,0.395881650252,0.394973719959,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
35,19,0.399513371422,0.397912363485,0.398232565072,0.397912363485,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
40,20,0.399513371422,0.399513371422,0.399513371422,0.399513371422,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
65,10,0.399317339271,0.399317339271,0.399317339271,0.399317339271,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
90,8,0.399263640335,0.399263640335,0.399263640335,0.399263640335,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
85,8,0.399263640335,0.399263640335,0.399263640335,0.399263640335,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
80,8,0.399263640335,0.399263640335,0.399263640335,0.399263640335,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
90,4,0.399220196092,0.399220196092,0.399220196092,0.399220196092,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
85,4,0.399220196092,0.399220196092,0.399220196092,0.399220196092,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
80,4,0.399220196092,0.399220196092,0.399220196092,0.399220196092,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
75,4,0.399220196092,0.399220196092,0.399220196092,0.399220196092,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
70,4,0.399220196092,0.399220196092,0.399220196092,0.399220196092,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
65,4,0.399220196092,0.399220196092,0.399220196092,0.399220196092,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
60,4,0.399220196092,0.399220196092,0.399220196092,0.399220196092,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
55,4,0.399220196092,0.399220196092,0.399220196092,0.399220196092,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
50,4,0.399220196092,0.399220196092,0.399220196092,0.399220196092,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
45,4,0.399220196092,0.399220196092,0.399220196092,0.399220196092,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
40,4,0.399220196092,0.399220196092,0.399220196092,0.399220196092,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
35,4,0.399220196092,0.399220196092,0.399220196092,0.399220196092,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
30,4,0.399220196092,0.399220196092,0.399220196092,0.399220196092,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
25,4,0.399220196092,0.399220196092,0.399220196092,0.399220196092,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
24,4,0.399220196092,0.399220196092,0.399220196092,0.399220196092,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
17,4,0.399220196092,0.399220196092,0.399220196092,0.399220196092,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
16,4,0.399220196092,0.399220196092,0.399220196092,0.399220196092,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
15,4,0.399220196092,0.399220196092,0.399220196092,0.399220196092,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
24,16,0.399163573977,0.399163573977,0.399163573977,0.399163573977,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
23,16,0.399163573977,0.399163573977,0.399163573977,0.399163573977,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
24,17,0.399163573977,0.399163573977,0.399163573977,0.399163573977,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
65,55,0.398924339539,0.398924339539,0.398924339539,0.398924339539,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
85,10,0.398872244255,0.398872244255,0.398872244255,0.398872244255,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
11,10,0.398758802139,0.398758802139,0.398758802139,0.398758802139,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
19,15,0.398241308961,0.398241308961,0.398241308961,0.398241308961,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
80,11,0.398118176859,0.398118176859,0.398118176859,0.398118176859,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
75,11,0.398118176859,0.398118176859,0.398118176859,0.398118176859,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
70,11,0.398118176859,0.398118176859,0.398118176859,0.398118176859,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
65,11,0.398118176859,0.398118176859,0.398118176859,0.398118176859,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
90,12,0.398118176859,0.398118176859,0.398118176859,0.398118176859,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
