K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,UNIX_TIME,total_points,algo_choice,num_elements,in_file,solver,plambda,sigma
9000,1999,0.450015544096,0.449518129697,0.449617612577,0.449518129697,1508093749.21962,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
8000,1499,0.444386165846,0.424457280848,0.428443057848,0.424457280848,1508096725.06368,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
7000,1499,0.44376536792,0.44376536792,0.44376536792,0.44376536792,1508096162.63635,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
1000,499,0.443321481628,0.443321481628,0.443321481628,0.443321481628,1508101170.69809,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
6000,1499,0.443288348261,0.443288348261,0.443288348261,0.443288348261,1508095843.28078,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
5000,1499,0.443181531655,0.443181531655,0.443181531655,0.443181531655,1508095570.59481,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
4000,1499,0.443010276938,0.44299267823,0.443006757196,0.443010276938,1508095020.71787,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
1500,499,0.440531651356,0.440531651356,0.440531651356,0.440531651356,1508101321.0247,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
2000,499,0.440167415479,0.440167415479,0.440167415479,0.440167415479,1508101502.23099,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
2000,1499,0.440020881532,0.440020881532,0.440020881532,0.440020881532,1508094512.24319,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
9000,499,0.439403017164,0.439403017164,0.439403017164,0.439403017164,1508104057.4672,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
3000,1499,0.439378072191,0.439378072191,0.439378072191,0.439378072191,1508094734.17731,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
8000,499,0.439170684348,0.439170684348,0.439170684348,0.439170684348,1508103664.09406,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
7000,499,0.439002728012,0.439002728012,0.439002728012,0.439002728012,1508103384.12918,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
6000,499,0.43892772212,0.43892772212,0.43892772212,0.43892772212,1508102910.57274,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
8000,1999,0.438035782723,0.437966829071,0.438021991992,0.438035782723,1508092998.26196,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
3000,1999,0.437449225215,0.437449225215,0.437449225215,0.437449225215,1508090347.88964,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
4000,1999,0.436030823646,0.436030823646,0.436030823646,0.436030823646,1508091055.27066,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
