K_cap,NMI_max,NMI_min,NMI_avg,NMI_med
80,0.336240740338,0.336240740338,0.336240740338,0.336240740338
400,0.335059931202,0.334318560481,0.334911657058,0.335059931202
400,0.335043090569,0.334318560481,0.334463466499,0.334318560481
400,0.335043090569,0.334318560481,0.334898184552,0.335043090569
400,0.334318560481,0.334318560481,0.334318560481,0.334318560481
110,0.334060379651,0.333586558951,0.333681323091,0.333586558951
110,0.333998703468,0.333998703468,0.333998703468,0.333998703468
110,0.333998703468,0.333998703468,0.333998703468,0.333998703468
500,0.332705512169,0.332705512169,0.332705512169,0.332705512169
500,0.332705512169,0.332705512169,0.332705512169,0.332705512169
500,0.332705512169,0.332705512169,0.332705512169,0.332705512169
500,0.332705512169,0.332705512169,0.332705512169,0.332705512169
600,0.331726035689,0.331726035689,0.331726035689,0.331726035689
600,0.331726035689,0.331726035689,0.331726035689,0.331726035689
600,0.331726035689,0.331726035689,0.331726035689,0.331726035689
600,0.331726035689,0.331726035689,0.331726035689,0.331726035689
550,0.331528602706,0.331528602706,0.331528602706,0.331528602706
550,0.331528602706,0.331528602706,0.331528602706,0.331528602706
550,0.331528602706,0.331528602706,0.331528602706,0.331528602706
800,0.331439170568,0.331412234415,0.331433783337,0.331439170568
450,0.331372328434,0.331003798735,0.331298622495,0.331372328434
115,0.331275031171,0.331275031171,0.331275031171,0.331275031171
115,0.331275031171,0.330877493226,0.330957000815,0.330877493226
450,0.331003798735,0.331003798735,0.331003798735,0.331003798735
115,0.330934285365,0.330877493226,0.330888851654,0.330877493226
700,0.329562506988,0.329353861782,0.329395590823,0.329353861782
40,0.314745387244,0.314745387244,0.314745387244,0.314745387244
30,0.314643798193,0.313028478275,0.313351542259,0.313028478275
