K_cap,sigma,NMI_max,NMI_min,NMI_avg,NMI_med
600,10.5,0.2917595195,0.291285049657,0.291379943626,0.291285049657
600,9.5,0.291267488267,0.291267488267,0.291267488267,0.291267488267
600,10,0.291267488267,0.291267488267,0.291267488267,0.291267488267
600,8,0.290401612917,0.290385000141,0.290398290362,0.290401612917
600,7.5,0.29040033097,0.29040033097,0.29040033097,0.29040033097
600,8.5,0.290411304448,0.290348251083,0.290360861756,0.290348251083
600,12.5,0.289835661552,0.28932885689,0.28973430062,0.289835661552
600,9,0.291218004898,0.289318801173,0.289698641918,0.289318801173
600,2.2,0.288723878717,0.288723878717,0.288723878717,0.288723878717
300,2.3,0.283391047106,0.282962330715,0.283305303828,0.283391047106
300,2.4,0.282965027079,0.282965027079,0.282965027079,0.282965027079
600,2.1,0.282748643069,0.282268799204,0.282364767977,0.282268799204
300,2.5,0.28165754146,0.281647560159,0.28164955642,0.281647560159
600,1.5,0.279579764053,0.279191038815,0.279268783863,0.279191038815
600,2,0.278693208385,0.278231507375,0.278600868183,0.278693208385
250,2.4,0.265292243305,0.265292243305,0.265292243305,0.265292243305
250,2.3,0.264879719296,0.264879719296,0.264879719296,0.264879719296
250,2.5,0.266826334302,0.264815035213,0.265217295031,0.264815035213
600,1.1,0.256206313682,0.256194477575,0.256203946461,0.256206313682
200,2.3,0.247828607322,0.247559952992,0.247774876456,0.247828607322
200,2.4,0.246580625104,0.246548819022,0.246574263887,0.246580625104
200,2.5,0.245835177724,0.245835177724,0.245835177724,0.245835177724
550,2.5,0.24066208392,0.24066208392,0.24066208392,0.24066208392
550,2.4,0.239853093042,0.239853093042,0.239853093042,0.239853093042
550,2.3,0.238957417415,0.238951498669,0.238952682418,0.238951498669
550,2,0.238460132312,0.23710951044,0.238190007938,0.238460132312
550,2.6,0.239391216427,0.23833166907,0.238543578542,0.23833166907
550,2.2,0.238902999367,0.23802739528,0.238202516097,0.23802739528
550,2.1,0.237898150865,0.237859670945,0.237890454881,0.237898150865
550,2.7,0.23870214651,0.237842911772,0.23801475872,0.237842911772
550,3.5,0.236866269761,0.236127665881,0.236718548985,0.236866269761
550,3,0.236831826028,0.236750106427,0.236766450347,0.236750106427
550,4,0.227197521388,0.227197521388,0.227197521388,0.227197521388
550,6,0.225097193248,0.224126046012,0.224902963801,0.225097193248
550,6.5,0.225038055472,0.22479832805,0.224990109987,0.225038055472
550,5.5,0.224976423398,0.224632865014,0.224907711721,0.224976423398
550,4.5,0.224857588961,0.2245067561,0.224787422389,0.224857588961
550,5,0.224992887152,0.224287379186,0.224428480779,0.224287379186
550,7.5,0.225028451553,0.223946132934,0.224162596658,0.223946132934
550,9,0.224082369653,0.223685528782,0.223764896956,0.223685528782
550,7,0.22489783631,0.223598260578,0.223858175724,0.223598260578
550,11.5,0.223515003828,0.223515003828,0.223515003828,0.223515003828
550,8.5,0.223490081221,0.223490081221,0.223490081221,0.223490081221
550,1.5,0.223418731364,0.222755757886,0.223286136668,0.223418731364
550,8,0.223292528463,0.223282861348,0.22329059504,0.223292528463
550,12.5,0.223237063311,0.223237063311,0.223237063311,0.223237063311
550,13,0.223237063311,0.223237063311,0.223237063311,0.223237063311
550,14,0.223237063311,0.222827525996,0.223155155848,0.223237063311
550,11,0.223515003828,0.223226118583,0.223283895632,0.223226118583
550,12,0.223237063311,0.223105298823,0.223131651721,0.223105298823
550,10,0.223105298823,0.223048306407,0.22309390034,0.223105298823
550,13.5,0.223105298823,0.223092343213,0.223102707701,0.223105298823
550,14.5,0.223092343213,0.223092343213,0.223092343213,0.223092343213
550,15.5,0.223092343213,0.222934519745,0.223060778519,0.223092343213
550,9.5,0.223662464446,0.223011518181,0.223141707434,0.223011518181
550,16,0.222934519745,0.222934519745,0.222934519745,0.222934519745
550,10.5,0.223105298823,0.222925861089,0.222961748635,0.222925861089
